sku;short_description;adapt;regular_price
PHA2150;200MHz, 1500V High Voltage Differential Probe;Digital Oscilloscope; 236 667 ? 
PIA1020;Digital Oscillscope?13GHz?40GSa/s?4CH200MHz optical isolation probe, standard with one 20x attenuator.;Digital Oscilloscope; 868 344 ? 
PIA1050;500MHz optical isolation probe, standard with one 50x and one 2000x attenuator.;Digital Oscilloscope; 1 595 994 ? 
PIA1100;1GHz optical isolation probe, standard with one 50x and one 2000x attenuator.;Digital Oscilloscope; 2 420 664 ? 
PLA2216;16 Channel Digital Logic Probe;DS; 62 955 ? 
PLA3204;Quad-channel Logic Analyzer Probe;Digital Oscilloscope; 36 929 ? 
PRSC42;2-way power divider (DC to 4 GHz);Digital Oscilloscope; 15 739 ? 
PVA7250;2.5 GHz Differential Active Probe;Digital Oscilloscope; 781 211 ? 
PVA8150S;1.5GHz active single-ended probe, input impedance 1M?;Digital Oscilloscope; 308 062 ? 
PVA8350;3.5GHz Differential Active Probe;Digital Oscilloscope; 942 080 ? 
PVA8700;7GHz Differential Active Probe;Digital Oscilloscope; 1 405 250 ? 
PVA9100;10GHz Active Differential Voltage Probe;Digital Oscilloscope; 1 978 592 ? 
PVA9130;13GHz Active Differential Voltage Probe;Digital Oscilloscope; 2 356 323 ? 
PVA9-DB01-3X;200? Handheld Differential Probe Head;Digital Oscilloscope; 141 649 ? 
PVA9-DB01-6X;450? Handheld Differential Probe Head;Digital Oscilloscope; 141 649 ? 
